model,language,difficulty,total_tasks,execution_success_rate,pass_at_1_rate,avg_generation_time_s,avg_peak_memory_mb
deepseek-coder:6.7b-instruct,java,easy,7,100.0,100.0,10.055,33.51
deepseek-coder:6.7b-instruct,java,hard,5,40.0,40.0,32.663,33.33
deepseek-coder:6.7b-instruct,java,medium,8,100.0,87.5,20.459,33.78
deepseek-coder:6.7b-instruct,python,easy,7,100.0,100.0,8.101,11.89
deepseek-coder:6.7b-instruct,python,hard,5,100.0,100.0,18.872,11.8
deepseek-coder:6.7b-instruct,python,medium,8,100.0,87.5,10.384,11.82
qwen2.5-coder:7b,java,easy,7,100.0,100.0,8.517,33.37
qwen2.5-coder:7b,java,hard,5,40.0,40.0,14.668,33.34
qwen2.5-coder:7b,java,medium,8,87.5,75.0,13.357,34.12
qwen2.5-coder:7b,python,easy,7,100.0,100.0,7.279,11.84
qwen2.5-coder:7b,python,hard,5,100.0,100.0,14.466,11.67
qwen2.5-coder:7b,python,medium,8,100.0,87.5,9.182,11.79
starcoder2:instruct,java,easy,7,100.0,100.0,26.478,33.61
starcoder2:instruct,java,hard,5,20.0,20.0,95.288,33.52
starcoder2:instruct,java,medium,8,100.0,87.5,53.414,33.98
starcoder2:instruct,python,easy,7,100.0,100.0,23.149,11.84
starcoder2:instruct,python,hard,5,100.0,100.0,57.372,11.9
starcoder2:instruct,python,medium,8,100.0,87.5,52.9,11.81
